benchmark,treatment,run_id,final_update,mean_fitness,max_fitness
consensus,EventDriven_MsgForking,100,50000,1507.64,4775
consensus,EventDriven_MsgForking,10,50000,1410.55,5375
consensus,EventDriven_MsgForking,11,50000,1682.46,5375
consensus,EventDriven_MsgForking,12,50000,1651.27,5275
consensus,EventDriven_MsgForking,13,50000,1411.14,5325
consensus,EventDriven_MsgForking,14,50000,1843.23,4950
consensus,EventDriven_MsgForking,15,50000,1768.66,5500
consensus,EventDriven_MsgForking,16,50000,1319.69,5050
consensus,EventDriven_MsgForking,17,50000,1903.78,5625
consensus,EventDriven_MsgForking,18,50000,1689.49,5275
consensus,EventDriven_MsgForking,19,50000,2314.71,5075
consensus,EventDriven_MsgForking,1,50000,1568.74,5225
consensus,EventDriven_MsgForking,20,50000,2147.51,5500
consensus,EventDriven_MsgForking,21,50000,1710.41,5350
consensus,EventDriven_MsgForking,22,50000,1124.2,5100
consensus,EventDriven_MsgForking,23,50000,1477.6,5425
consensus,EventDriven_MsgForking,24,50000,1733.24,5375
consensus,EventDriven_MsgForking,25,50000,1604.94,5075
consensus,EventDriven_MsgForking,26,50000,1974.01,5575
consensus,EventDriven_MsgForking,27,50000,1587.05,4925
consensus,EventDriven_MsgForking,28,50000,2152.08,5400
consensus,EventDriven_MsgForking,29,50000,1890.29,5750
consensus,EventDriven_MsgForking,2,50000,1606.79,5350
consensus,EventDriven_MsgForking,30,50000,1977.78,5250
consensus,EventDriven_MsgForking,31,50000,1554.86,5300
consensus,EventDriven_MsgForking,32,50000,0,0
consensus,EventDriven_MsgForking,33,50000,1803.35,5350
consensus,EventDriven_MsgForking,34,50000,1718.8,5075
consensus,EventDriven_MsgForking,35,50000,0,0
consensus,EventDriven_MsgForking,36,50000,1362.48,5950
consensus,EventDriven_MsgForking,37,50000,1546.09,5825
consensus,EventDriven_MsgForking,38,50000,716.763,4425
consensus,EventDriven_MsgForking,39,50000,1871.02,5425
consensus,EventDriven_MsgForking,3,50000,2356.88,5875
consensus,EventDriven_MsgForking,40,50000,1364.23,4850
consensus,EventDriven_MsgForking,41,50000,2387.18,5750
consensus,EventDriven_MsgForking,42,50000,1422.61,5375
consensus,EventDriven_MsgForking,43,50000,912.785,3825
consensus,EventDriven_MsgForking,44,50000,0,0
consensus,EventDriven_MsgForking,45,50000,1700.66,5375
consensus,EventDriven_MsgForking,46,50000,1546.32,5400
consensus,EventDriven_MsgForking,47,50000,1257.42,4825
consensus,EventDriven_MsgForking,48,50000,2147.37,5500
consensus,EventDriven_MsgForking,49,50000,2738.66,5700
consensus,EventDriven_MsgForking,4,50000,2279.81,5925
consensus,EventDriven_MsgForking,50,50000,2617.81,5900
consensus,EventDriven_MsgForking,51,50000,1836.62,5300
consensus,EventDriven_MsgForking,52,50000,1078.22,5375
consensus,EventDriven_MsgForking,53,50000,1402.18,5325
consensus,EventDriven_MsgForking,54,50000,1046.29,4700
consensus,EventDriven_MsgForking,55,50000,914.278,4850
